"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"WIP_RECEIPT_DIST"	"ROWID"	"int"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"WORKORDER_TYPE"	"nchar"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"WORKORDER_BASE_ID"	"nvarchar"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"WORKORDER_LOT_ID"	"nvarchar"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"WORKORDER_SPLIT_ID"	"nvarchar"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"WORKORDER_SUB_ID"	"nvarchar"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"DIST_NO"	"smallint"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"ENTRY_NO"	"smallint"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"AMOUNT"	"decimal"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"AMOUNT_TYPE"	"nchar"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"GL_ACCOUNT_ID"	"nvarchar"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"POSTING_STATUS"	"nchar"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"POSTING_DATE"	"datetime"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"BATCH_ID"	"nvarchar"	"YES"
"dbo"	"WIP_RECEIPT_DIST"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"CURRENCY_ID"	"nvarchar"	"NO"
"dbo"	"WIP_RECEIPT_DIST"	"NATIVE"	"nchar"	"YES"
