"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"E_PURCLATE_DET"	"ROWID"	"int"	"NO"
"dbo"	"E_PURCLATE_DET"	"EIS_DATE"	"datetime"	"YES"
"dbo"	"E_PURCLATE_DET"	"ID"	"nvarchar"	"YES"
"dbo"	"E_PURCLATE_DET"	"ORDER_DATE"	"datetime"	"YES"
"dbo"	"E_PURCLATE_DET"	"DESIRED_RECV_DATE"	"datetime"	"YES"
"dbo"	"E_PURCLATE_DET"	"STATUS"	"nchar"	"YES"
"dbo"	"E_PURCLATE_DET"	"VENDOR_ID"	"nvarchar"	"YES"
"dbo"	"E_PURCLATE_DET"	"VENDOR_NAME"	"nvarchar"	"YES"
"dbo"	"E_PURCLATE_DET"	"BUYER"	"nvarchar"	"YES"
"dbo"	"E_PURCLATE_DET"	"LINE_NO"	"smallint"	"YES"
"dbo"	"E_PURCLATE_DET"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"E_PURCLATE_DET"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"E_PURCLATE_DET"	"USER_ORDER_QTY"	"decimal"	"YES"
"dbo"	"E_PURCLATE_DET"	"PURCHASE_UM"	"nvarchar"	"YES"
"dbo"	"E_PURCLATE_DET"	"UNIT_PRICE"	"decimal"	"YES"
"dbo"	"E_PURCLATE_DET"	"TRADE_DISC_PERCENT"	"decimal"	"YES"
"dbo"	"E_PURCLATE_DET"	"TOTAL_VALUE"	"decimal"	"YES"
"dbo"	"E_PURCLATE_DET"	"PRODUCT_CODE"	"nvarchar"	"YES"
"dbo"	"E_PURCLATE_DET"	"COMMODITY_CODE"	"nvarchar"	"YES"
"dbo"	"E_PURCLATE_DET"	"SELL_RATE"	"decimal"	"YES"
"dbo"	"E_PURCLATE_DET"	"CURRENCY_ID"	"nvarchar"	"YES"
