"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"CUSTOMER_CONTACT"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"CUSTOMER_CONTACT"	"2"	"CUSTOMER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"CUSTOMER_CONTACT"	"3"	"CONTACT_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"CUSTOMER_CONTACT"	"4"	"CONTACT_FIRST_NAME"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_CONTACT"	"5"	"CONTACT_LAST_NAME"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_CONTACT"	"6"	"CONTACT_POSITION"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_CONTACT"	"7"	"CONTACT_INITIAL"	"nvarchar"	"2"	"0"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_CONTACT"	"8"	"CONTACT_HONORIFIC"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_CONTACT"	"9"	"CONTACT_PHONE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_CONTACT"	"10"	"CONTACT_FAX"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_CONTACT"	"11"	"CONTACT_MOBILE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_CONTACT"	"12"	"CONTACT_EMAIL"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_CONTACT"	"13"	"web_user_id"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_CONTACT"	"14"	"web_password"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
