"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"WO_SETUP_ATTRIB"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"WO_SETUP_ATTRIB"	"2"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"WO_SETUP_ATTRIB"	"3"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"WO_SETUP_ATTRIB"	"4"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"WO_SETUP_ATTRIB"	"5"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"WO_SETUP_ATTRIB"	"6"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"WO_SETUP_ATTRIB"	"7"	"ATTRIBUTE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"WO_SETUP_ATTRIB"	"8"	"NUMERIC_VALUE"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"WO_SETUP_ATTRIB"	"9"	"ALPHA_VALUE"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"WO_SETUP_ATTRIB"	"10"	"DATE_VALUE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
